x,y,z,x_quat,y_quat,z_quat,w_quat
89627.4488,43133.747,0.0,0.0,0.0,0.8348410922372319,0.5504910087477776
89627.2488,43133.947,0.0,0.0,0.0,0.7983486481147877,0.6021955131460969
89627.0488,43134.147,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89627.0488,43134.347,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89627.0488,43134.547,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89626.8488,43134.747,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43134.947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43135.147,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43135.347,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43135.547,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43135.747,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43135.947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43136.147,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43136.347,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43136.547,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43136.747,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43136.947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43137.147,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43137.347,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43137.547,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43137.747,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43137.947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43138.147,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89626.8488,43138.347,0.0,0.0,0.0,0.7554539549983283,0.6552017413571057
89626.8488,43138.547,0.0,0.0,0.0,0.7554539549983283,0.6552017413571057
89626.8488,43138.747,0.0,0.0,0.0,0.7983486481180945,0.6021955131417129
89626.8488,43138.947,0.0,0.0,0.0,0.7983486481176811,0.6021955131422609
89626.8488,43139.147,0.0,0.0,0.0,0.8348410922391309,0.5504910087448975
89626.8488,43139.347,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89626.8488,43139.547,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89626.6488,43139.747,0.0,0.0,0.0,0.88916764272006,0.4575815808570662
89626.6488,43139.947,0.0,0.0,0.0,0.9085128984925499,0.41785680953248283
89626.4488,43140.147,0.0,0.0,0.0,0.9085128984925499,0.41785680953248283
89626.4488,43140.347,0.0,0.0,0.0,0.9378850149044763,0.34694624773533755
89626.2488,43140.547,0.0,0.0,0.0,0.9522955085491037,0.3051774310089198
89626.0488,43140.747,0.0,0.0,0.0,0.966499648765316,0.2566679351545901
89625.8488,43140.947,0.0,0.0,0.0,0.9664996487648132,0.25666793515648334
89625.6488,43141.147,0.0,0.0,0.0,0.9795777228010244,0.20106587227065503
89625.4488,43141.347,0.0,0.0,0.0,0.9903342737783686,0.1387012118904202
89625.2488,43141.547,0.0,0.0,0.0,0.9903342737783686,0.1387012118904202
89625.0488,43141.547,0.0,0.0,0.0,0.990334273778559,0.1387012118890608
89624.8488,43141.547,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89624.6488,43141.547,0.0,0.0,0.0,0.9664996487642387,0.256667935158647
89624.4488,43141.747,0.0,0.0,0.0,0.9795777228014658,0.2010658722685045
89624.2488,43141.747,0.0,0.0,0.0,0.9664996487647414,0.25666793515675373
89624.0488,43141.747,0.0,0.0,0.0,0.966499648765316,0.2566679351545901
89623.8488,43141.947,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89623.6488,43141.947,0.0,0.0,0.0,0.9664996487642387,0.256667935158647
89623.4488,43142.147,0.0,0.0,0.0,0.9795777228010244,0.20106587227065503
89623.2488,43142.347,0.0,0.0,0.0,0.9903342737783686,0.1387012118904202
89623.0488,43142.347,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89622.8488,43142.547,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89622.6488,43142.547,0.0,0.0,0.0,0.9795777228014658,0.2010658722685045
89622.4488,43142.547,0.0,0.0,0.0,0.9664996487642387,0.256667935158647
89622.2488,43142.747,0.0,0.0,0.0,0.9664996487647414,0.25666793515675373
89622.0488,43142.747,0.0,0.0,0.0,0.9402715776829087,0.340425263753579
89621.8488,43142.747,0.0,0.0,0.0,0.9238795325124469,0.3826834323622888
89621.6488,43142.947,0.0,0.0,0.0,0.9238795325112867,0.38268343236508984
89621.4488,43143.147,0.0,0.0,0.0,0.9055894212233007,0.4241553962505337
89621.2488,43143.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89621.0488,43143.347,0.0,0.0,0.0,0.8649100931188761,0.5019268181927492
89620.8488,43143.547,0.0,0.0,0.0,0.8348410922391309,0.5504910087448975
89620.8488,43143.747,0.0,0.0,0.0,0.8348410922396489,0.550491008744112
89620.6488,43143.947,0.0,0.0,0.0,0.8348410922367139,0.550491008748563
89620.4488,43144.147,0.0,0.0,0.0,0.7983486481147877,0.6021955131460969
89620.4488,43144.347,0.0,0.0,0.0,0.7983486481147877,0.6021955131460969
89620.2488,43144.547,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89620.2488,43144.747,0.0,0.0,0.0,0.7554539549952296,0.6552017413606785
89620.2488,43144.947,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89620.2488,43145.147,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89620.0488,43145.347,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89620.0488,43145.547,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89620.0488,43145.747,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89620.0488,43145.947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89620.0488,43146.147,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
89620.0488,43146.347,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89620.0488,43146.547,0.0,0.0,0.0,0.7554539549949912,0.6552017413609534
89620.0488,43146.747,0.0,0.0,0.0,0.7554539549952296,0.6552017413606785
